FID	IID	V1	V2
66	66	0.608899641	0.540149707
67	67	0.515181246	1.032839978
68	68	-1.050535253	0.262030474
69	69	1.219276854	-0.857445716
70	70	1.673756247	-0.548726446
71	71	-0.35987789	-3.506732615
72	72	-1.092995505	1.448302243
73	73	-0.644736566	-0.089869045
74	74	-0.304781057	-0.89976541
75	75	-1.238645929	-1.083967161
76	76	-1.437421822	-0.505799913
77	77	-0.611449872	1.093895732
78	78	0.335552962	-0.151631852
79	79	-1.724813605	0.184658588
80	80	-1.062877372	0.938054225
81	81	-2.072504175	1.286591235
82	82	0.278898903	0.915747536
83	83	0.621800799	-0.041189731
84	84	1.018331417	-0.343103003
85	85	1.0927566	-0.768682709
86	86	-2.190133214	-0.965279741
87	87	0.82468268	1.095166578
88	88	-3.327579083	-0.613034406
89	89	2.144909531	0.417135272
90	90	-0.123021397	0.584708745
91	91	1.347077513	0.241851725
92	92	-1.486116811	-0.960983764
93	93	0.602164533	1.113104133
94	94	-1.441881566	0.260944168
95	95	0.453576747	0.141478026
96	96	-0.575544601	1.090702015
97	97	0.175108204	0.042355703
98	98	0.573709971	-0.98665577
99	99	-1.428693421	0.788726319
100	100	-0.606025358	0.501351904
101	101	-1.452927119	0.443502488
102	102	0.54179299	-1.603720073
103	103	-0.220676005	-0.494421188
104	104	-1.661526028	0.159178498
105	105	-0.083045426	-0.447210911
106	106	0.522189915	0.996726924
107	107	-1.132108636	0.479113627
108	108	-0.363807043	-1.760327397
109	109	-1.68813108	1.164384319
110	110	1.585540229	-0.007249716
111	111	-0.998291493	0.004627542
112	112	0.223497419	-1.321102806
113	113	0.573627223	0.311650996
114	114	-1.614463257	1.082957166
115	115	1.448905009	0.097605068
116	116	-1.334051413	0.784867756
117	117	1.028176016	-0.944176658
118	118	0.442700324	1.004562727
119	119	1.018419046	0.268656649
120	120	0.382476234	-0.133406454
121	121	-0.060685465	-0.311512522
122	122	-0.639314792	-1.518026691
123	123	-0.991173876	-0.321572448
124	124	0.8952073	0.24565055
125	125	0.011193647	0.380086794
126	126	-0.387381136	-0.491841324
127	127	-0.447750196	0.086618994
128	128	-1.486351148	-1.070993936
129	129	0.430022245	-0.004692015
130	130	0.78237006	-1.159893731
131	131	0.136338134	1.711679538
132	132	-0.431976639	-0.578190738
133	133	1.402467081	0.50274511
134	134	0.72006927	-0.935145947
135	135	-0.316574921	-0.409901081
136	136	0.11060518	-1.046051343
137	137	0.346605933	0.770750901
138	138	-0.19930495	1.518157991
139	139	-0.252212741	1.669935524
140	140	-0.888389792	0.232247159
141	141	-0.890347762	-0.728192085
142	142	0.152029145	2.238591232
143	143	-0.070140342	0.927860685
144	144	0.639338644	0.149843449
145	145	1.356835525	0.715450628
146	146	-0.067185541	-1.004979603
147	147	-0.041790119	-0.740058558
148	148	0.208014564	0.310692177
149	149	0.974528118	0.700687451
150	150	0.434609243	1.068909167
151	151	-2.025373419	-0.188261566
152	152	0.860627995	-0.720148339
153	153	-0.923052019	1.512752753
154	154	-2.894825266	0.014217683
155	155	2.14764231	1.11836182
156	156	0.191691836	1.699540076
157	157	1.933919372	-2.147593611
158	158	-1.006666881	0.273895842
159	159	0.867271913	0.550421539
160	160	0.239744641	0.871455672
161	161	-1.166731626	-0.92372905
162	162	1.196232496	0.267536839
163	163	-0.606314084	0.831081087
164	164	0.627891419	0.316909754
165	165	0.681239498	0.068501076
166	166	-0.137622766	-0.219358052
167	167	1.657387401	-0.16839618
168	168	-0.053218334	-0.09716074
169	169	1.333255825	0.047489663
170	170	0.503095046	0.620836572
171	171	-0.833086643	1.573789275
172	172	0.26341437	1.466558191
173	173	-3.011494183	-0.758603659
174	174	0.775355123	-0.345255488
175	175	-0.736899573	0.475328906
176	176	-0.705382245	-0.317658781
177	177	-1.102050748	1.047094643
178	178	0.291626212	-2.244143906
179	179	-0.61625805	-0.213352918
180	180	-0.258221446	1.133234402
181	181	1.017381459	0.335230743
182	182	-0.754582244	0.55886358
183	183	0.962254884	0.952711759
184	184	1.323610934	0.726199653
185	185	0.451636912	1.05241988
186	186	1.029602886	-0.915563518
187	187	0.215069385	1.58967717
188	188	0.857706091	0.469806033
189	189	0.982960759	-0.024424193
190	190	0.113277627	0.068388201
191	191	-0.24418093	-1.821732575
192	192	0.705378901	-0.442735603
193	193	1.152318002	0.594526314
194	194	-0.082483656	0.502688722
195	195	-0.51533276	-1.11130171
196	196	0.352508349	-1.583334735
197	197	0.509737117	1.8968048
198	198	0.408429191	-0.28337534
199	199	2.633182592	-1.372201355
200	200	-0.300070179	0.116053618
201	201	0.061815807	-0.257104455
202	202	1.196744214	-2.539455714
203	203	-0.390733349	-0.565154113
204	204	-0.635434531	-0.783691704
205	205	0.453171623	-0.963323712
206	206	0.497137674	-0.298292757
207	207	0.983044864	-0.182609329
208	208	0.1218633	-0.785472105
209	209	0.238155363	0.080184334
210	210	-1.546238848	0.583293081
211	211	-0.968055737	-0.638630087
212	212	-0.003496657	1.41445149
213	213	-0.004576074	-0.525635303
214	214	-0.366134409	-0.666235621
215	215	1.890249235	0.741764949
216	216	-0.918308636	-0.086876522
217	217	-0.591074859	0.566777956
218	218	2.256703657	-0.315748294
219	219	-1.572338227	-0.850792764
220	220	-0.068231449	-0.795866179
221	221	-0.533686552	-0.465695098
222	222	-0.650744878	0.715410607
223	223	-1.734832401	1.155105384
224	224	1.087222682	1.194136934
225	225	-0.195458352	-1.127089489
226	226	-0.377051472	-0.762275563
227	227	-0.181428849	1.087239941
228	228	-1.0840826	-0.116230458
229	229	0.980923358	-1.367530724
230	230	-1.412029331	0.043387779
231	231	-0.629131854	-0.549328076
232	232	1.704585543	-0.127408146
233	233	0.011466131	-1.147278537
234	234	0.005530291	0.548837223
235	235	-1.471696745	-2.518014624
236	236	0.375248849	1.887600554
237	237	0.264296911	-1.332593596
238	238	0.177190045	-0.193701321
239	239	-0.188329921	0.31969762
240	240	0.638949836	-0.175011559
241	241	-0.521513973	0.790904236
242	242	0.119178274	-0.18779595
243	243	1.482440984	-1.240683044
244	244	1.684223485	-1.125915501
245	245	-0.617850745	-0.71905335
246	246	-0.962425936	-1.379577649
247	247	-0.676307217	0.455639497
248	248	-0.42980326	-0.95897645
249	249	-0.73449432	0.503398185
250	250	-0.989528416	0.839136294
251	251	-0.29757895	-0.304572573
252	252	0.046628049	-0.125534729
253	253	-0.736475375	0.818502653
254	254	0.762687848	-0.992359226
255	255	1.969772351	-1.564383878
256	256	1.444777116	0.102540189
257	257	2.93644221	0.132408627
258	258	-1.643408256	-1.716473803
259	259	0.199821292	0.010893168
260	260	-2.899043137	-0.665617585
261	261	0.011023885	-1.124191737
262	262	-0.111135444	-2.025130408
263	263	0.296956907	-1.492353319
264	264	-1.588069827	-0.872935269
265	265	-1.205997907	-0.668896146
266	266	-0.984446077	0.405512287
267	267	0.873981222	0.130636383
268	268	1.151379012	0.269341912
269	269	-0.237522073	-1.169415422
270	270	0.52145156	0.229210872
271	271	-0.721109912	0.973353506
272	272	-1.715795095	0.331053754
273	273	1.416319657	0.405901494
274	274	-1.267648833	0.602765704
275	275	0.350036195	0.944979276
276	276	0.084133996	1.075197343
277	277	-0.388804613	1.680722824
278	278	0.712520575	-0.783525954
279	279	1.377566603	-1.099148917
280	280	-2.092335207	0.122388401
281	281	0.044417018	0.789377591
282	282	-1.046764957	0.560383615
283	283	-0.464676156	0.788323016
284	284	1.579979337	0.808076547
285	285	-0.062235705	-1.187390165
286	286	0.645601715	1.199215357
287	287	1.760040487	0.869717731
288	288	-1.739490719	0.702805638
289	289	1.657364117	-1.143739933
290	290	-0.296467972	0.444850043
291	291	1.824603675	-1.940342732
292	292	-0.217403205	-2.295360712
293	293	-1.491090631	-0.952864885
294	294	0.417681617	-1.129155896
295	295	-0.335530289	-1.567957257
296	296	0.562029616	-1.005159273
297	297	1.107163292	0.275315612
298	298	-0.376045966	-0.545860365
299	299	-1.011698815	0.421285842
300	300	-0.233735457	0.234001377
301	301	-0.191041983	-1.266566742
302	302	-2.14079033	-0.661582208
303	303	0.171697378	1.197905867
304	304	-0.511784388	-0.370359288
305	305	-2.152155612	0.211447694
306	306	1.783366114	1.81258706
307	307	-1.66459001	1.056078139
308	308	-1.238315397	0.174125333
309	309	0.748196336	1.318939651
310	310	0.288925126	-0.790047372
311	311	0.218752902	-0.295691694
312	312	-1.317113724	-0.382572814
313	313	0.746165576	-1.104154735
314	314	0.558474345	0.468625077
315	315	-0.949839806	1.456134056
316	316	-1.003480967	0.095217034
317	317	1.061909678	0.938709504
318	318	-0.203767227	1.454464806
319	319	0.514968595	0.474162887
320	320	-0.876709952	-0.645955886
321	321	1.052426876	0.114357815
322	322	-1.012895795	-0.027074408
323	323	0.62859776	0.871057058
324	324	-1.185368154	0.237656086
325	325	-0.263263415	-1.441714494
326	326	2.18793143	-0.044883213
327	327	0.721356342	1.920716542
328	328	-0.848363398	-0.917608913
329	329	-0.988155593	-0.462056013
330	330	-1.940588451	-0.856316425
331	331	-0.050523238	0.531545092
332	332	-0.145093288	-0.726857838
333	333	-0.619765512	0.717145097
334	334	0.764451579	1.470705996
335	335	0.183358258	-0.083128251
336	336	1.016838871	-0.486724369
337	337	-0.231482026	-1.041121436
338	338	0.125226073	-0.612502254
339	339	-1.585398946	-0.033204831
340	340	-0.270814906	1.15150628
341	341	-0.327455226	-0.299027016
342	342	2.298306435	2.011251323
343	343	0.006992987	-0.25698906
344	344	-0.840138408	1.484572719
345	345	0.299514179	-1.498915073
346	346	0.686550826	-0.528289958
347	347	-0.450013706	0.684382357
348	348	-1.314521293	0.552333015
349	349	-0.889682558	-3.755000984
350	350	0.127431832	-0.632802306
351	351	-0.112048133	-0.50365204
352	352	0.73555556	-0.010350006
353	353	0.077037664	0.268372039
354	354	-1.992581722	-0.145854539
355	355	-1.492133461	0.076029007
356	356	-0.363076455	0.341697578
357	357	0.187916092	-1.520641478
358	358	-0.676067238	-1.414544508
359	359	-1.018184007	2.706891032
360	360	0.643991543	-0.842444964
361	361	0.845439889	-0.656289941
362	362	2.172433941	1.499611543
363	363	0.478976867	-1.177004535
364	364	-2.406159481	-1.814613894
365	365	-0.706072441	2.022281978
366	366	-0.080578416	0.716674158
367	367	-0.732597151	0.415601284
368	368	0.667621993	1.23843684
369	369	0.44333166	-1.780337916
370	370	-1.49759007	-1.166109588
371	371	0.635231718	-0.570508751
372	372	0.795574536	1.389520543
373	373	0.561752508	0.368582315
374	374	-0.005448175	1.472854323
375	375	-1.691555496	-0.522545242
376	376	-0.338280841	0.640617164
377	377	-1.840627884	-0.355930891
378	378	-0.397429043	-0.30562148
379	379	-1.410479518	0.152843004
380	380	-0.178517696	0.293126647
381	381	-0.948112187	-0.104263128
382	382	-1.105744473	-2.089458421
383	383	-0.979730639	0.02444915
384	384	-0.673906244	-0.531445824
385	385	-1.133645455	-0.404537315
386	386	-0.544213921	0.094348399
387	387	0.105668171	-0.228181118
388	388	1.089897727	1.073646269
389	389	1.40469251	-0.85068342
390	390	0.949585869	1.035175374
391	391	-0.286124447	0.865896478
392	392	2.410713739	-1.40414958
393	393	-1.176299157	1.223025141
394	394	-1.073526052	-0.181197905
395	395	-0.249694419	0.568791794
396	396	0.533130241	0.823257011
397	397	-0.550317144	0.043600528
398	398	-0.155761262	-1.149909592
399	399	0.773772944	1.819758869
400	400	0.674723374	0.877810943
401	401	0.416502492	0.371382546
402	402	0.936820455	0.374779777
403	403	0.138571095	1.007222315
404	404	1.01977425	0.934263379
405	405	-0.515549291	-0.761080274
406	406	1.573826173	-0.628595039
407	407	-0.284188973	1.319260528
408	408	-0.492467477	0.304497413
409	409	-1.552238599	-0.169894465
410	410	-1.043651712	-1.077578305
411	411	0.337313503	0.019979
412	412	0.567261738	0.3432725
413	413	1.331589033	-1.019078991
414	414	-0.943621151	0.511887198
415	415	1.292041072	0.685314763
416	416	1.117764737	-0.21662908
417	417	0.285225183	0.871964788
418	418	0.148853156	-0.41864658
419	419	0.963419265	2.060245241
420	420	0.698207978	-0.255827825
421	421	0.101877873	0.337286116
422	422	-0.135148343	-0.343489389
423	423	0.780193791	-0.262196401
424	424	0.521884516	-0.417526584
425	425	-0.29627125	0.464767162
426	426	2.125835171	-1.580325057
427	427	-0.164761291	1.192792089
428	428	0.148948213	0.762275788
429	429	1.662557478	-1.62671912
430	430	0.153377216	0.139804712
431	431	-0.060916835	1.005785424
432	432	1.0195152	0.370079241
433	433	0.639411741	-0.051027712
434	434	0.320803185	-1.510000308
435	435	0.166796516	-0.12537464
436	436	-0.18365568	-0.899494322
437	437	2.711740746	1.574938676
438	438	0.303207263	0.398285443
439	439	-0.412194239	-1.553994539
440	440	-1.322104825	-0.033268461
441	441	0.498774861	0.82422861
442	442	0.214632249	-2.061285127
443	443	1.638498976	1.389464673
444	444	1.525953041	-0.173539684
445	445	0.094344085	0.048931842
446	446	-1.451684351	0.461979228
447	447	1.520725502	0.726264517
448	448	-0.323154618	0.556172618
449	449	2.281504752	1.223835958
450	450	-0.003217112	1.97248349
451	451	-0.556550139	-0.887450564
452	452	0.870946331	-1.424200849
453	453	-0.109528854	1.298518457
454	454	-0.193556363	-0.416879434
455	455	-0.411465876	-0.086353158
456	456	-2.475623929	-0.567341521
457	457	0.604076804	-0.104022237
458	458	0.435994232	0.490238627
459	459	1.210813713	-0.94108333
460	460	-2.589749116	1.288964742
461	461	1.685277046	-0.169581955
462	462	-1.155372495	2.482627609
463	463	-0.836939506	0.32707338
464	464	-0.024654191	1.013111114
465	465	-0.39354002	0.193263007
466	466	0.117928973	0.96986157
467	467	-2.050959905	-0.717641462
468	468	-0.791287689	0.619984114
469	469	-0.661430924	-0.026458578
470	470	0.110540452	-1.601227977
471	471	-1.133961619	0.302603493
472	472	-0.4284475	0.032378656
473	473	1.977775653	0.188174544
474	474	0.478443081	-0.247911442
475	475	1.880492738	0.758524314
476	476	-0.944514726	-1.467242674
477	477	1.208621279	-1.290447952
478	478	-0.426800287	-2.131997515
479	479	0.070144675	-0.814190153
480	480	0.024777156	2.212424904
481	481	-2.144798715	-1.263504709
482	482	0.2190427	-0.997236453
483	483	-0.838546038	-1.369904251
484	484	1.956465674	-0.766893627
485	485	-0.62369416	0.06171749
486	486	0.105750753	-0.718526178
487	487	0.352984674	0.034045039
488	488	-0.860996639	-0.899747742
489	489	1.901886715	0.945309118
490	490	0.2321882	-0.766806972
491	491	0.439708463	-0.100496086
492	492	-0.470814418	0.08763344
493	493	0.720297215	1.55770019
494	494	-0.996123734	0.091556256
495	495	-0.138496949	0.040296632
496	496	0.537127981	-0.056468105
497	497	-0.051168477	1.202462329
498	498	-1.465062802	1.17424106
499	499	-0.51653372	-0.576053588
500	500	-1.04827118	0.926623357
